,datetime,source,MW
666,2016-11-05 15:22:00,Both,0.23
667,2016-11-05 15:25:06,Both,0.61
668,2016-11-05 15:30:39,Both,0.36
669,2016-11-05 15:32:32,Both,0.31
670,2016-11-05 15:34:07,Both,0.37
671,2016-11-05 15:34:37,Both,0.41
672,2016-11-05 15:37:03,Both,0.22
673,2016-11-05 15:41:15,Both,0.38
674,2016-11-05 15:44:13,Both,0.31
675,2016-11-05 15:45:00,Both,0.49
676,2016-11-05 15:53:18,Both,0.56
677,2016-11-05 16:00:10,Both,-0.04
678,2016-11-05 16:01:07,Both,0.19
679,2016-11-05 16:07:11,Both,0.2
680,2016-11-05 16:07:44,Both,0.32
681,2016-11-05 16:08:56,Both,0.51
682,2016-11-05 16:14:19,Both,0.37
683,2016-11-05 16:15:52,Both,0.59
684,2016-11-05 16:23:11,Both,0.19
685,2016-11-05 16:27:09,Both,0.45
686,2016-11-05 16:34:42,Both,0.55
687,2016-11-05 16:36:52,Both,0.34
688,2016-11-05 16:50:47,Both,0.22
689,2016-11-05 16:52:33,Both,0.65
690,2016-11-05 17:05:17,Both,0.86
691,2016-11-05 17:10:13,Both,0.15
692,2016-11-05 17:15:31,Both,0.25
693,2016-11-05 17:16:15,Both,0.46
694,2016-11-05 17:20:01,Both,0.16
695,2016-11-05 17:28:28,Both,0.49
696,2016-11-05 17:32:57,Both,0.21
697,2016-11-05 17:37:15,Both,0.27
698,2016-11-05 17:43:00,Both,0.33
699,2016-11-05 17:44:58,Both,0.45
700,2016-11-05 17:49:48,Both,0.66
701,2016-11-05 17:53:30,Both,0.23
702,2016-11-05 18:00:27,Both,0.49
703,2016-11-05 18:15:21,Both,0.69
704,2016-11-05 18:17:32,Both,0.24
705,2016-11-05 18:22:31,Both,0.5
706,2016-11-05 18:22:37,Both,0.52
707,2016-11-05 18:27:29,Both,0.15
708,2016-11-05 18:35:41,Both,0.37
709,2016-11-05 18:36:38,Both,0.28
710,2016-11-05 18:38:27,Both,0.21
711,2016-11-05 18:43:20,Both,0.35
712,2016-11-05 18:43:31,Both,0.46
713,2016-11-05 18:46:22,Both,0.32
714,2016-11-05 18:51:23,Both,0.15
715,2016-11-05 18:52:08,Both,0.43
716,2016-11-05 19:05:55,Both,0.81
717,2016-11-05 19:14:47,Both,0.13
718,2016-11-05 19:17:52,Both,0.39
